Iteration,Mean Rebuild Frequency
582,12.15
583,12.2
584,12.25
585,12.3
586,12.35
587,11.8095
588,11.8571
589,11.9048
590,11.9524
591,12
592,12.0476
593,12.0952
594,12.1429
595,12.1905
596,12.2381
597,12.2857
598,12.3333
599,12.381
600,11.8636
601,11.9091
602,11.9545
603,12
604,12.0455
605,12.0909
606,12.1364
607,12.1818
608,12.2273
609,12.2727
610,12.3182
611,12.3636
612,11.8696
613,11.913
614,11.9565
615,12
616,12.0435
617,12.087
618,12.1304
619,12.1739
620,12.2174
621,12.2609
622,12.3043
623,12.3478
624,11.875
625,11.9167
626,11.9583
627,12
628,12.0417
629,12.0833
630,12.125
631,12.1667
632,12.2083
633,12.25
634,12.2917
635,12.3333
636,12.375
637,12.4167
638,11.96
639,12
640,12.04
641,12.08
642,12.12
643,12.16
644,12.2
645,12.24
646,12.28
647,12.32
648,12.36
649,12.4
650,12.44
651,12.48
652,12.0385
653,12.0769
654,12.1154
655,12.1538
656,12.1923
657,12.2308
658,12.2692
659,12.3077
660,12.3462
661,12.3846
662,12.4231
663,12.4615
664,12.037
665,12.0741
666,12.1111
667,12.1481
668,12.1852
669,12.2222
670,12.2593
671,12.2963
672,12.3333
673,12.3704
674,12.4074
675,12
676,12.0357
677,12.0714
678,12.1071
679,12.1429
680,12.1786
681,12.2143
682,12.25
683,12.2857
684,12.3214
685,12.3571
686,12.3929
687,12
688,12.0345
689,12.069
690,12.1034
691,12.1379
692,12.1724
693,12.2069
694,12.2414
695,12.2759
696,12.3103
697,12.3448
698,12.3793
699,12
700,12.0333
701,12.0667
702,12.1
703,12.1333
704,12.1667
705,12.2
706,12.2333
707,12.2667
708,12.3
709,12.3333
710,12.3667
711,12
712,12.0323
713,12.0645
714,12.0968
715,12.129
716,12.1613
717,12.1935
718,12.2258
719,12.2581
720,12.2903
721,12.3226
722,12.3548
723,12.3871
724,12.0312
725,12.0625
726,12.0938
727,12.125
728,12.1562
729,12.1875
730,12.2188
731,12.25
732,12.2812
733,12.3125
734,12.3438
735,12.375
736,12.4062
737,12.0606
738,12.0909
739,12.1212
740,12.1515
741,12.1818
742,12.2121
743,12.2424
744,12.2727
745,12.303
746,12.3333
747,12.3636
748,12.3939
749,12.4242
750,12.0882
751,12.1176
752,12.1471
753,12.1765
754,12.2059
755,12.2353
756,12.2647
757,12.2941
758,12.3235
759,12.3529
760,12.3824
761,12.4118
762,12.4412
763,12.4706
764,12.1429
765,12.1714
766,12.2
767,12.2286
768,12.2571
769,12.2857
770,12.3143
771,12.3429
772,12.3714
773,12.4
774,12.4286
775,12.4571
776,12.4857
777,12.5143
778,12.1944
779,12.2222
780,12.25
781,12.2778
782,12.3056
783,12.3333
784,12.3611
785,12.3889
786,12.4167
787,12.4444
788,12.4722
789,12.5
790,12.5278
791,12.5556
792,12.5833
793,12.2703
794,12.2973
795,12.3243
796,12.3514
797,12.3784
798,12.4054
799,12.4324
800,12.4595
801,12.4865
802,12.5135
803,12.5405
804,12.5676
805,12.5946
806,12.6216
807,12.3158
808,12.3421
809,12.3684
810,12.3947
811,12.4211
812,12.4474
813,12.4737
814,12.5
815,12.5263
816,12.5526
817,12.5789
818,12.6053
819,12.6316
820,12.6579
821,12.359
822,12.3846
823,12.4103
824,12.4359
825,12.4615
826,12.4872
827,12.5128
828,12.5385
829,12.5641
830,12.5897
831,12.6154
832,12.641
833,12.6667
834,12.6923
835,12.4
836,12.425
837,12.45
838,12.475
839,12.5
840,12.525
841,12.55
842,12.575
843,12.6
844,12.625
845,12.65
846,12.675
847,12.7
848,12.725
849,12.439
850,12.4634
851,12.4878
852,12.5122
853,12.5366
854,12.561
855,12.5854
856,12.6098
857,12.6341
858,12.6585
859,12.6829
860,12.7073
861,12.7317
862,12.7561
863,12.4762
864,12.5
865,12.5238
866,12.5476
867,12.5714
868,12.5952
869,12.619
870,12.6429
871,12.6667
872,12.6905
873,12.7143
874,12.7381
875,12.7619
876,12.7857
877,12.8095
878,12.5349
879,12.5581
880,12.5814
881,12.6047
882,12.6279
883,12.6512
884,12.6744
885,12.6977
886,12.7209
887,12.7442
888,12.7674
889,12.7907
890,12.814
891,12.8372
892,12.8605
893,12.5909
894,12.6136
895,12.6364
896,12.6591
897,12.6818
898,12.7045
899,12.7273
900,12.75
901,12.7727
902,12.7955
903,12.8182
904,12.8409
905,12.8636
906,12.6
907,12.6222
908,12.6444
909,12.6667
910,12.6889
911,12.7111
912,12.7333
913,12.7556
914,12.7778
915,12.8
916,12.8222
917,12.8444
918,12.8667
919,12.6087
920,12.6304
921,12.6522
922,12.6739
923,12.6957
924,12.7174
925,12.7391
926,12.7609
927,12.7826
928,12.8043
929,12.8261
930,12.8478
931,12.8696
932,12.8913
933,12.913
934,12.6596
935,12.6809
936,12.7021
937,12.7234
938,12.7447
939,12.766
940,12.7872
941,12.8085
942,12.8298
943,12.8511
944,12.8723
945,12.8936
946,12.9149
947,12.9362
948,12.9574
949,12.7083
950,12.7292
951,12.75
952,12.7708
953,12.7917
954,12.8125
955,12.8333
956,12.8542
957,12.875
958,12.8958
959,12.9167
960,12.9375
961,12.9583
962,12.9792
963,12.7347
964,12.7551
965,12.7755
966,12.7959
967,12.8163
968,12.8367
969,12.8571
970,12.8776
971,12.898
972,12.9184
973,12.9388
974,12.9592
975,12.9796
976,13
977,12.76
978,12.78
979,12.8
980,12.82
981,12.84
982,12.86
983,12.88
984,12.9
985,12.92
986,12.94
987,12.96
988,12.98
989,13
990,13.02
991,12.7843
992,12.8039
993,12.8235
994,12.8431
995,12.8627
996,12.8824
997,12.902
998,12.9216
999,12.9412
1000,12.9608
1001,12.9804
1002,13
1003,13.0196
1004,13.0392
1005,13.0588
1006,12.8269
1007,12.8462
1008,12.8654
1009,12.8846
1010,12.9038
1011,12.9231
1012,12.9423
1013,12.9615
1014,12.9808
1015,13
1016,13.0192
1017,13.0385
1018,13.0577
1019,13.0769
1020,13.0962
1021,12.8679
1022,12.8868
1023,12.9057
1024,12.9245
1025,12.9434
1026,12.9623
1027,12.9811
1028,13
1029,13.0189
1030,13.0377
1031,13.0566
1032,13.0755
1033,13.0943
1034,13.1132
1035,13.1321
1036,12.9074
1037,12.9259
1038,12.9444
1039,12.963
1040,12.9815
1041,13
1042,13.0185
1043,13.037
1044,13.0556
1045,13.0741
1046,13.0926
1047,13.1111
1048,13.1296
1049,13.1481
1050,13.1667
1051,12.9455
1052,12.9636
