Iteration,Mean Rebuild Frequency
597,23.4545
598,23.5455
599,23.6364
600,23.7273
601,23.8182
602,23.9091
603,24
604,24.0909
605,24.1818
606,24.2727
607,24.3636
608,24.4545
609,24.5455
610,24.6364
611,24.7273
612,24.8182
613,24.9091
614,25
615,25.0909
616,23.0833
617,23.1667
618,23.25
619,23.3333
620,23.4167
621,23.5
622,23.5833
623,23.6667
624,23.75
625,23.8333
626,23.9167
627,24
628,24.0833
629,24.1667
630,24.25
631,24.3333
632,24.4167
633,24.5
634,24.5833
635,24.6667
636,24.75
637,24.8333
638,24.9167
639,25
640,25.0833
641,23.2308
642,23.3077
643,23.3846
644,23.4615
645,23.5385
646,23.6154
647,23.6923
648,23.7692
649,23.8462
650,23.9231
651,24
652,24.0769
653,24.1538
654,24.2308
655,24.3077
656,24.3846
657,24.4615
658,24.5385
659,24.6154
660,24.6923
661,24.7692
662,24.8462
663,24.9231
664,25
665,25.0769
666,25.1538
667,23.4286
668,23.5
669,23.5714
670,23.6429
671,23.7143
672,23.7857
673,23.8571
674,23.9286
675,24
676,24.0714
677,24.1429
678,24.2143
679,24.2857
680,24.3571
681,24.4286
682,24.5
683,24.5714
684,24.6429
685,24.7143
686,24.7857
687,24.8571
688,24.9286
689,25
690,25.0714
691,25.1429
692,23.5333
693,23.6
694,23.6667
695,23.7333
696,23.8
697,23.8667
698,23.9333
699,24
700,24.0667
701,24.1333
702,24.2
703,24.2667
704,24.3333
705,24.4
706,24.4667
707,24.5333
708,24.6
709,24.6667
710,24.7333
711,24.8
712,24.8667
713,24.9333
714,25
715,25.0667
716,25.1333
717,23.625
718,23.6875
719,23.75
720,23.8125
721,23.875
722,23.9375
723,24
724,24.0625
725,24.125
726,24.1875
727,24.25
728,24.3125
729,24.375
730,24.4375
731,24.5
732,24.5625
733,24.625
734,24.6875
735,24.75
736,24.8125
737,24.875
738,24.9375
739,25
740,25.0625
741,25.125
742,23.7059
743,23.7647
744,23.8235
745,23.8824
746,23.9412
747,24
748,24.0588
749,24.1176
750,24.1765
751,24.2353
752,24.2941
753,24.3529
754,24.4118
755,24.4706
756,24.5294
757,24.5882
758,24.6471
759,24.7059
760,24.7647
761,24.8235
762,24.8824
763,24.9412
764,25
765,25.0588
766,25.1176
767,25.1765
768,23.8333
769,23.8889
770,23.9444
771,24
772,24.0556
773,24.1111
774,24.1667
775,24.2222
776,24.2778
777,24.3333
778,24.3889
779,24.4444
780,24.5
781,24.5556
782,24.6111
783,24.6667
784,24.7222
785,24.7778
786,24.8333
787,24.8889
788,24.9444
789,25
790,25.0556
791,25.1111
792,25.1667
793,25.2222
794,23.9474
795,24
796,24.0526
797,24.1053
798,24.1579
799,24.2105
800,24.2632
801,24.3158
802,24.3684
803,24.4211
804,24.4737
805,24.5263
806,24.5789
807,24.6316
808,24.6842
809,24.7368
810,24.7895
811,24.8421
812,24.8947
813,24.9474
814,25
815,25.0526
816,25.1053
817,25.1579
818,25.2105
819,25.2632
820,24.05
821,24.1
822,24.15
823,24.2
824,24.25
825,24.3
826,24.35
827,24.4
828,24.45
829,24.5
830,24.55
831,24.6
832,24.65
833,24.7
834,24.75
835,24.8
836,24.85
837,24.9
838,24.95
839,25
840,25.05
841,25.1
842,25.15
843,25.2
844,25.25
845,25.3
846,24.1429
847,24.1905
848,24.2381
849,24.2857
850,24.3333
851,24.381
852,24.4286
853,24.4762
854,24.5238
855,24.5714
856,24.619
857,24.6667
858,24.7143
859,24.7619
860,24.8095
861,24.8571
862,24.9048
863,24.9524
864,25
865,25.0476
866,25.0952
867,25.1429
868,25.1905
869,25.2381
870,24.1364
871,24.1818
872,24.2273
873,24.2727
874,24.3182
875,24.3636
876,24.4091
877,24.4545
878,24.5
879,24.5455
880,24.5909
881,24.6364
882,24.6818
883,24.7273
884,24.7727
885,24.8182
886,24.8636
887,24.9091
888,24.9545
889,25
890,25.0455
891,25.0909
892,25.1364
893,25.1818
894,24.1304
895,24.1739
896,24.2174
897,24.2609
898,24.3043
899,24.3478
900,24.3913
901,24.4348
902,24.4783
903,24.5217
904,24.5652
905,24.6087
906,24.6522
907,24.6957
908,24.7391
909,24.7826
910,24.8261
911,24.8696
912,24.913
913,24.9565
914,25
915,25.0435
916,25.087
917,25.1304
918,25.1739
919,24.1667
920,24.2083
921,24.25
922,24.2917
923,24.3333
924,24.375
925,24.4167
926,24.4583
927,24.5
928,24.5417
929,24.5833
930,24.625
931,24.6667
932,24.7083
933,24.75
934,24.7917
935,24.8333
936,24.875
937,24.9167
938,24.9583
939,25
940,25.0417
941,25.0833
942,24.12
943,24.16
944,24.2
945,24.24
946,24.28
947,24.32
948,24.36
949,24.4
950,24.44
951,24.48
952,24.52
953,24.56
954,24.6
955,24.64
956,24.68
957,24.72
958,24.76
959,24.8
960,24.84
961,24.88
962,24.92
963,24.96
964,25
965,24.0769
966,24.1154
967,24.1538
968,24.1923
969,24.2308
970,24.2692
971,24.3077
972,24.3462
973,24.3846
974,24.4231
975,24.4615
976,24.5
977,24.5385
978,24.5769
979,24.6154
980,24.6538
981,24.6923
982,24.7308
983,24.7692
984,24.8077
985,24.8462
986,24.8846
987,24.9231
988,24.037
989,24.0741
990,24.1111
991,24.1481
992,24.1852
993,24.2222
994,24.2593
995,24.2963
996,24.3333
997,24.3704
998,24.4074
999,24.4444
1000,24.4815
1001,24.5185
1002,24.5556
1003,24.5926
1004,24.6296
1005,24.6667
1006,24.7037
1007,24.7407
1008,24.7778
1009,24.8148
1010,24.8519
1011,24
1012,24.0357
1013,24.0714
1014,24.1071
1015,24.1429
1016,24.1786
1017,24.2143
1018,24.25
1019,24.2857
1020,24.3214
1021,24.3571
1022,24.3929
1023,24.4286
1024,24.4643
1025,24.5
1026,24.5357
1027,24.5714
1028,24.6071
1029,24.6429
1030,24.6786
1031,24.7143
1032,24.75
1033,24.7857
1034,23.9655
1035,24
1036,24.0345
1037,24.069
1038,24.1034
1039,24.1379
1040,24.1724
1041,24.2069
1042,24.2414
1043,24.2759
1044,24.3103
1045,24.3448
1046,24.3793
1047,24.4138
1048,24.4483
1049,24.4828
1050,24.5172
1051,24.5517
1052,24.5862
1053,24.6207
1054,24.6552
1055,24.6897
1056,24.7241
1057,23.9333
1058,23.9667
1059,24
1060,24.0333
1061,24.0667
1062,24.1
1063,24.1333
1064,24.1667
1065,24.2
1066,24.2333
1067,24.2667
1068,24.3
1069,24.3333
1070,24.3667
1071,24.4
1072,24.4333
1073,24.4667
1074,24.5
1075,24.5333
1076,24.5667
1077,24.6
1078,24.6333
1079,24.6667
1080,23.9032
1081,23.9355
1082,23.9677
1083,24
1084,24.0323
1085,24.0645
1086,24.0968
1087,24.129
1088,24.1613
1089,24.1935
1090,24.2258
1091,24.2581
1092,24.2903
1093,24.3226
1094,24.3548
1095,24.3871
1096,24.4194
1097,24.4516
1098,24.4839
1099,24.5161
1100,24.5484
1101,24.5806
1102,24.6129
1103,23.875
1104,23.9062
1105,23.9375
1106,23.9688
1107,24
1108,24.0312
1109,24.0625
1110,24.0938
1111,24.125
1112,24.1562
1113,24.1875
1114,24.2188
1115,24.25
1116,24.2812
1117,24.3125
1118,24.3438
1119,24.375
1120,24.4062
1121,24.4375
1122,24.4688
1123,24.5
1124,24.5312
1125,24.5625
1126,23.8485
1127,23.8788
1128,23.9091
1129,23.9394
1130,23.9697
1131,24
1132,24.0303
1133,24.0606
1134,24.0909
1135,24.1212
1136,24.1515
1137,24.1818
1138,24.2121
1139,24.2424
1140,24.2727
1141,24.303
1142,24.3333
1143,24.3636
1144,24.3939
1145,24.4242
1146,24.4545
1147,24.4848
1148,24.5152
1149,23.8235
1150,23.8529
1151,23.8824
1152,23.9118
1153,23.9412
1154,23.9706
1155,24
1156,24.0294
1157,24.0588
1158,24.0882
1159,24.1176
1160,24.1471
1161,24.1765
1162,24.2059
1163,24.2353
1164,24.2647
1165,24.2941
1166,24.3235
1167,24.3529
1168,24.3824
1169,24.4118
1170,24.4412
1171,24.4706
1172,23.8
1173,23.8286
1174,23.8571
1175,23.8857
1176,23.9143
1177,23.9429
1178,23.9714
1179,24
1180,24.0286
1181,24.0571
1182,24.0857
1183,24.1143
1184,24.1429
1185,24.1714
1186,24.2
1187,24.2286
1188,24.2571
1189,24.2857
1190,24.3143
1191,24.3429
1192,24.3714
1193,24.4
1194,24.4286
1195,23.7778
1196,23.8056
1197,23.8333
1198,23.8611
1199,23.8889
1200,23.9167
1201,23.9444
1202,23.9722
1203,24
1204,24.0278
1205,24.0556
1206,24.0833
1207,24.1111
1208,24.1389
1209,24.1667
1210,24.1944
1211,24.2222
1212,24.25
1213,24.2778
1214,24.3056
1215,24.3333
1216,24.3611
1217,24.3889
1218,23.7568
1219,23.7838
1220,23.8108
1221,23.8378
1222,23.8649
1223,23.8919
1224,23.9189
1225,23.9459
1226,23.973
1227,24
1228,24.027
1229,24.0541
1230,24.0811
1231,24.1081
1232,24.1351
1233,24.1622
1234,24.1892
1235,24.2162
1236,24.2432
1237,24.2703
1238,24.2973
1239,24.3243
1240,24.3514
1241,23.7368
1242,23.7632
1243,23.7895
1244,23.8158
1245,23.8421
1246,23.8684
1247,23.8947
1248,23.9211
1249,23.9474
1250,23.9737
1251,24
1252,24.0263
1253,24.0526
1254,24.0789
1255,24.1053
1256,24.1316
1257,24.1579
1258,24.1842
1259,24.2105
1260,24.2368
1261,24.2632
1262,24.2895
1263,24.3158
1264,23.7179
1265,23.7436
1266,23.7692
1267,23.7949
1268,23.8205
1269,23.8462
1270,23.8718
1271,23.8974
1272,23.9231
1273,23.9487
1274,23.9744
1275,24
1276,24.0256
1277,24.0513
1278,24.0769
1279,24.1026
1280,24.1282
1281,24.1538
1282,24.1795
1283,24.2051
1284,24.2308
1285,24.2564
1286,24.2821
1287,24.3077
1288,24.3333
1289,24.359
1290,23.775
1291,23.8
1292,23.825
1293,23.85
1294,23.875
1295,23.9
1296,23.925
1297,23.95
1298,23.975
1299,24
1300,24.025
1301,24.05
1302,24.075
1303,24.1
1304,24.125
1305,24.15
1306,24.175
1307,24.2
1308,24.225
1309,24.25
1310,24.275
1311,24.3
1312,24.325
1313,24.35
1314,24.375
1315,23.8049
1316,23.8293
1317,23.8537
1318,23.878
1319,23.9024
1320,23.9268
1321,23.9512
1322,23.9756
1323,24
1324,24.0244
1325,24.0488
1326,24.0732
1327,24.0976
1328,24.122
1329,24.1463
1330,24.1707
1331,24.1951
1332,24.2195
1333,24.2439
1334,24.2683
1335,24.2927
1336,24.3171
1337,24.3415
1338,24.3659
1339,24.3902
1340,23.8333
1341,23.8571
1342,23.881
1343,23.9048
1344,23.9286
1345,23.9524
1346,23.9762
1347,24
1348,24.0238
1349,24.0476
1350,24.0714
1351,24.0952
1352,24.119
1353,24.1429
1354,24.1667
1355,24.1905
1356,24.2143
1357,24.2381
1358,24.2619
1359,24.2857
1360,24.3095
1361,24.3333
1362,24.3571
1363,24.381
1364,23.8372
1365,23.8605
1366,23.8837
1367,23.907
1368,23.9302
1369,23.9535
1370,23.9767
1371,24
1372,24.0233
1373,24.0465
1374,24.0698
1375,24.093
1376,24.1163
1377,24.1395
1378,24.1628
1379,24.186
1380,24.2093
1381,24.2326
1382,24.2558
1383,24.2791
1384,24.3023
1385,24.3256
1386,24.3488
1387,24.3721
1388,23.8409
1389,23.8636
1390,23.8864
1391,23.9091
1392,23.9318
1393,23.9545
1394,23.9773
1395,24
1396,24.0227
1397,24.0455
1398,24.0682
1399,24.0909
1400,24.1136
1401,24.1364
1402,24.1591
1403,24.1818
1404,24.2045
1405,24.2273
1406,24.25
1407,24.2727
1408,24.2955
1409,24.3182
1410,24.3409
1411,24.3636
1412,23.8444
1413,23.8667
1414,23.8889
1415,23.9111
1416,23.9333
1417,23.9556
1418,23.9778
1419,24
1420,24.0222
1421,24.0444
1422,24.0667
1423,24.0889
1424,24.1111
1425,24.1333
1426,24.1556
1427,24.1778
1428,24.2
1429,24.2222
1430,24.2444
1431,24.2667
1432,24.2889
1433,24.3111
1434,24.3333
1435,24.3556
1436,23.8478
1437,23.8696
1438,23.8913
1439,23.913
1440,23.9348
1441,23.9565
1442,23.9783
1443,24
1444,24.0217
1445,24.0435
1446,24.0652
1447,24.087
1448,24.1087
1449,24.1304
1450,24.1522
1451,24.1739
1452,24.1957
1453,24.2174
1454,24.2391
1455,24.2609
1456,24.2826
1457,24.3043
1458,24.3261
1459,24.3478
1460,23.8511
1461,23.8723
1462,23.8936
1463,23.9149
1464,23.9362
1465,23.9574
1466,23.9787
1467,24
1468,24.0213
1469,24.0426
1470,24.0638
1471,24.0851
1472,24.1064
1473,24.1277
