Iteration, Estimate
462,12.4335
463,12.4508
464,12.4712
465,12.4948
466,12.5216
467,12.5515
468,12.5845
469,12.6204
470,12.6592
471,12.7007
472,12.745
473,12.7918
474,12.841
475,12.8926
476,12.9462
477,13.0019
478,13.0593
479,13.1183
480,13.1785
481,13.2399
482,13.3021
483,13.365
484,13.4281
485,13.4914
486,13.5011
487,13.5039
488,13.5081
489,13.5138
490,13.5205
491,13.5283
492,13.5374
493,13.5478
494,13.5593
495,13.572
496,13.5859
497,13.6008
498,13.6167
499,13.6336
500,13.6516
501,13.6702
502,13.6893
503,13.7091
504,13.7301
505,13.7523
506,13.7713
507,13.756
508,13.7469
509,13.7438
510,13.7461
511,13.7536
512,13.7655
513,13.7812
514,13.7999
515,13.8203
516,13.8413
517,13.8287
518,13.7452
519,13.6757
520,13.6191
521,13.5748
522,13.5421
523,13.5201
524,13.5089
525,13.5087
526,13.5199
527,13.5431
528,13.579
529,13.5252
530,13.4335
531,13.3358
532,13.2338
533,13.1289
534,13.0225
535,12.9166
536,12.8123
537,12.7106
538,12.6123
539,12.5177
540,12.4273
541,12.3415
542,12.26
543,12.1829
544,12.1105
545,12.0428
546,11.9796
547,11.9205
548,11.8653
549,11.8144
550,11.7672
551,11.7236
552,11.6838
553,11.6475
554,11.6151
555,11.5864
556,11.5613
557,11.5396
558,11.5217
559,11.5078
560,11.498
561,11.4924
562,11.4913
563,11.4946
564,11.5026
565,11.5157
566,11.5342
567,11.5585
568,11.589
569,11.6258
570,11.6695
571,11.7207
572,11.7799
573,11.8477
574,11.9248
575,12.0118
576,12.1094
577,12.2182
578,12.3391
579,12.4728
580,12.6201
581,12.7816
582,12.9583
583,13.1507
584,13.3594
585,13.5851
586,13.8282
587,14.089
588,14.179
589,14.1021
590,14.0324
591,13.9698
592,13.9138
593,13.8642
594,13.8214
595,13.785
596,13.7549
597,13.7311
598,13.5506
599,13.3595
600,13.1869
601,13.0321
602,12.8947
603,12.7739
604,12.6691
605,12.5794
606,12.5039
607,12.4421
608,12.3932
609,12.3563
610,12.331
611,12.3165
612,12.3122
613,12.3177
614,12.3325
615,12.3562
616,12.3887
617,12.4295
618,12.4785
619,12.5361
620,12.6027
621,12.6787
622,12.7642
623,12.8599
624,12.9668
625,13.0857
626,13.2174
627,13.3627
628,13.5224
629,13.6971
630,13.8873
631,14.0935
632,14.3156
633,14.5536
634,14.7481
635,14.7408
636,14.7326
637,14.7235
638,14.7136
639,14.7028
640,14.6904
641,14.6764
642,14.6617
643,14.6462
644,14.4697
645,14.1893
646,13.9329
647,13.6993
648,13.4867
649,13.2938
650,13.1196
651,12.9626
652,12.8217
653,12.6954
654,12.5827
655,12.4824
656,12.3934
657,12.3148
658,12.2457
659,12.1853
660,12.1327
661,12.0874
662,12.0486
663,12.0158
664,11.9885
665,11.9661
666,11.9483
667,11.9346
668,11.9246
669,11.9181
670,11.9148
671,11.9144
672,11.9165
673,11.9207
674,11.9272
675,11.9355
676,11.9453
677,11.9566
678,11.9693
679,11.9835
680,11.9991
681,12.0159
682,12.0338
683,12.0528
684,12.0728
685,12.0937
686,12.1154
687,12.1378
688,12.161
689,12.1848
690,12.2093
691,12.2343
692,12.2598
693,12.2858
694,12.3122
695,12.3391
696,12.3663
697,12.394
698,12.4219
699,12.4502
700,12.4788
701,12.5076
702,12.5367
703,12.5661
704,12.5958
705,12.6258
706,12.6559
707,12.6863
708,12.7169
709,12.7477
710,12.7786
711,12.8098
712,12.8412
713,12.8727
714,12.9045
715,12.9364
716,12.9685
717,13.0008
718,13.0333
719,13.0659
720,13.0988
721,13.1318
722,13.165
723,13.1985
724,13.2321
725,13.2659
726,13.3
727,13.3342
728,13.3687
729,13.4034
730,13.4381
731,13.473
732,13.5078
733,13.5423
734,13.5771
735,13.6121
736,13.6473
737,13.6828
738,13.7185
739,13.7544
740,13.7906
741,13.8269
742,13.8636
743,13.9004
744,13.9375
745,13.9748
746,14.0123
747,14.0501
748,14.0876
749,14.1249
750,14.1624
751,14.2002
752,14.2381
753,14.2763
754,14.3147
755,14.3533
756,14.3921
757,14.4311
758,14.4704
759,14.5098
760,14.5494
761,14.5893
762,14.6293
763,14.6695
764,14.71
765,14.7505
766,14.7913
767,14.8323
768,14.8734
769,14.9147
770,14.9562
771,14.9978
772,15.0396
773,15.0816
774,15.1237
775,15.166
776,15.2084
777,15.251
778,15.2938
779,15.3366
780,15.3797
781,15.4228
782,15.4661
783,15.5096
784,15.514
785,15.4467
786,15.3851
787,15.3282
788,15.2757
789,15.2279
790,15.1845
791,15.1453
792,15.11
793,15.0783
794,15.05
795,15.025
796,15.0029
797,14.9836
798,14.9669
799,14.9526
800,14.9406
801,14.9307
802,14.9229
803,14.9169
804,14.9127
805,14.9102
806,14.9093
807,14.9096
808,14.911
809,14.914
810,14.9184
811,14.9244
812,14.9319
813,14.9411
814,14.9519
815,14.9645
816,14.9791
817,14.9956
818,15.0144
819,15.0356
820,15.0593
821,15.0858
822,15.1154
823,15.1243
824,15.0753
825,15.0288
826,14.9845
827,14.9427
828,14.9032
829,14.8662
830,14.8315
831,14.7993
832,14.7696
833,14.7423
834,14.7175
835,14.6952
836,14.6755
837,14.6583
838,14.6437
839,14.6318
840,14.6225
841,14.616
842,14.6122
843,14.6109
844,14.6121
845,14.6163
846,14.6235
847,14.6339
848,14.6475
849,14.6644
850,14.6847
851,14.7086
852,14.7362
853,14.7678
854,14.8036
855,14.8439
856,14.8882
857,14.9371
858,14.9911
859,15.0507
860,15.1163
861,15.1882
862,15.2669
863,15.3528
864,15.4464
865,15.5483
866,15.6591
867,15.7794
868,15.8396
869,15.8505
870,15.8634
871,15.8783
872,15.8954
873,15.9147
874,15.9363
875,15.9602
876,15.9864
877,16.0152
878,16.0464
879,16.0802
880,16.1166
881,16.1557
882,16.0192
883,15.8046
884,15.6029
885,15.4134
886,15.2359
887,15.0697
888,14.9143
889,14.7691
890,14.6337
891,14.5076
892,14.3899
893,14.2802
894,14.1784
895,14.0848
896,13.9988
897,13.9205
898,13.8494
899,13.7856
900,13.7287
901,13.6787
902,13.6353
903,13.5985
904,13.5683
905,13.5448
906,13.528
907,13.5179
908,13.5147
909,13.5184
910,13.5292
911,13.5474
912,13.5731
913,13.6068
914,13.6486
915,13.6991
916,13.7587
917,13.8279
918,13.9072
919,13.9972
920,14.0988
921,14.2128
922,14.3403
923,14.4817
924,14.638
925,14.8109
926,15.0017
927,15.2119
928,15.4425
929,15.6952
930,15.8446
931,15.8411
932,15.8421
933,15.8474
934,15.8568
935,15.8698
936,15.8859
937,15.9053
938,15.9277
939,15.9395
940,15.8174
941,15.7035
942,15.5973
943,15.4985
944,15.4067
945,15.3216
946,15.2429
947,15.1703
948,15.1037
949,15.0428
950,14.9874
951,14.9373
952,14.8924
953,14.8526
954,14.8177
955,14.7877
956,14.7626
957,14.7423
958,14.7268
959,14.7161
960,14.7103
961,14.7094
962,14.7135
963,14.7228
964,14.7374
965,14.757
966,14.7818
967,14.755
968,14.678
969,14.6097
970,14.5498
971,14.4984
972,14.4554
973,14.4208
974,14.3946
975,14.3768
976,14.3675
977,14.3668
978,14.3749
979,14.3918
980,14.4176
981,14.4529
982,14.4983
983,14.554
984,14.6206
985,14.6987
986,14.7888
987,14.8917
988,15.008
989,15.1383
990,15.2153
991,15.2178
992,15.2241
993,15.2345
994,15.2494
995,15.2691
996,15.2939
997,15.3241
998,15.3603
999,15.4027
1000,15.452
1001,15.5081
1002,15.5715
1003,15.6432
1004,15.7074
1005,15.6944
1006,15.6876
1007,15.687
1008,15.6926
1009,15.704
1010,15.7213
1011,15.7445
1012,15.7506
1013,15.7504
1014,15.7504
1015,15.7498
1016,15.7482
1017,15.7464
1018,15.7448
1019,15.7434
1020,15.7424
1021,15.7416
1022,15.7411
1023,15.741
1024,15.7413
1025,15.7419
1026,15.7429
1027,15.7443
1028,15.7462
1029,15.7485
1030,15.7513
1031,15.7542
1032,15.7571
1033,15.7607
1034,15.7648
1035,15.7696
1036,15.7751
1037,15.7815
1038,15.7886
1039,15.7966
1040,15.8056
1041,15.8157
1042,15.8268
1043,15.8392
1044,15.8524
1045,15.8666
1046,15.8823
1047,15.8997
1048,15.9189
1049,15.9403
1050,15.9638
1051,15.9899
1052,16.0186
1053,16.0499
1054,16.0841
1055,16.1214
1056,16.1623
1057,16.2077
1058,16.157
1059,15.9473
1060,15.763
1061,15.6025
1062,15.4644
1063,15.3473
1064,15.2498
1065,15.1707
1066,15.1089
1067,15.0634
1068,15.0333
1069,15.0175
1070,15.0155
1071,15.0268
1072,15.0504
1073,15.0858
1074,15.1332
1075,15.1918
1076,15.2033
1077,15.1304
1078,15.0704
1079,15.0221
1080,14.9843
1081,14.9559
1082,14.936
1083,14.9236
1084,14.9178
1085,14.9178
1086,14.9229
1087,14.9324
1088,14.9458
1089,14.9625
1090,14.9822
1091,15.0044
1092,15.0289
1093,15.0557
1094,15.0845
1095,15.1154
1096,15.1485
1097,15.1838
1098,15.2217
1099,15.2245
1100,15.2179
1101,15.2136
1102,15.2117
1103,15.212
1104,15.2148
1105,15.2199
1106,15.2277
1107,15.238
1108,15.251
1109,15.2669
1110,15.2857
1111,15.3076
1112,15.3329
1113,15.3615
1114,15.3938
1115,15.4299
1116,15.4701
1117,15.5146
1118,15.563
1119,15.6155
1120,15.6731
1121,15.7111
1122,15.6388
1123,15.5653
1124,15.498
1125,15.4367
1126,15.3812
1127,15.3311
1128,15.2864
1129,15.2467
1130,15.2118
1131,15.1813
1132,15.1549
1133,15.1329
1134,15.1152
1135,15.1018
1136,15.0926
1137,15.0874
1138,15.0863
1139,15.0892
1140,15.0955
1141,15.1051
1142,15.1187
1143,15.1363
1144,15.1578
1145,15.1832
1146,15.2127
1147,15.2459
1148,15.2828
1149,15.3236
1150,15.3681
1151,15.4161
1152,15.4679
1153,15.5236
1154,15.5828
1155,15.6453
1156,15.6821
1157,15.6982
1158,15.7178
1159,15.7409
1160,15.7678
1161,15.7987
1162,15.8338
1163,15.8731
1164,15.9167
1165,15.9648
1166,16.0174
1167,16.0745
1168,16.1359
1169,16.1428
1170,16.1469
1171,16.1531
1172,16.1619
1173,16.1735
1174,16.1885
1175,16.208
1176,16.2329
1177,16.2641
1178,16.3027
1179,16.35
1180,16.2593
1181,16.1741
1182,16.1052
1183,16.0504
1184,16.0079
1185,15.976
1186,15.9542
1187,15.9411
1188,15.9359
1189,15.9378
1190,15.9458
1191,15.9595
1192,15.9782
1193,16.0014
1194,16.0286
1195,16.0595
1196,16.0937
1197,16.131
1198,16.1709
1199,16.2134
1200,16.2583
1201,16.3053
1202,16.3543
1203,16.4053
1204,16.458
1205,16.5003
1206,16.4888
1207,16.4769
