Number_of_Tuning_Intervals,Overhead,Percentage
1,151011,0.002%
2,165177,0.002%
3,181710,0.002%
4,189662,0.002%
5,212400,0.002%
6,233896,0.003%
7,251314,0.003%
8,272675,0.003%
9,280059,0.003%
10,297381,0.003%
