Number_of_Tuning_Intervals,Overhead,Percentage
1,248607,0.0029%
2,279367,0.0030%
3,313359,0.0031%
4,330643,0.0031%
5,348572,0.0030%
6,369136,0.0030%
7,360457,0.0028%8,384314,0.0028%
9,392001,0.0027%
10,394307,0.0026%
