Number_of_Particles,Overhead,Perc
1000,122127,(0.0026%)
2000,194310,(0.0024%)
3000,204157,(0.0017%)
4000,228377,(0.0015%)
5000,325745,(0.0017%)
6000,245264,(0.0010%)
7000,355012,(0.0013%)
8000,247318,(0.0008%)
9000,436144,(0.0013%)
10000,306265,(0.0008%)
